,Date,Name,Nationality,Cause of death,mountain,Year,Month,Range
557,1997-05-06 00:00:00,Nima Rinzi,United Kingdom,fall,Everest,1997,5,Himalaya
559,1997-05-07 00:00:00,Mingma,Nepal,fall,Everest,1997,5,Himalaya
558,1997-05-07 00:00:00,Aleksandr Torochin,Russia,fall,Everest,1997,5,Himalaya
561,1997-05-07 00:00:00,Ivan Plotnikov,Russia,exposure,Everest,1997,5,Himalaya
560,1997-05-07 00:00:00,Nikolai Shevtchenko,Russia,exposure,Everest,1997,5,Himalaya
562,1997-05-08 00:00:00,Peter Kowalzik,Germany,disappeared,Everest,1997,5,Himalaya
563,1997-05-21 00:00:00,Salavat Khabibullin,Russia,exhaustion,Makalu,1997,5,Himalaya
564,1997-05-24 00:00:00,Igor Bugachevski,Russia,fall,Makalu,1997,5,Himalaya
565,1997-07-16 00:00:00,Fukuzo Yokotagawa,Japan,avalanche,Broad Peak,1997,7,Karakorum
566,1997-07-30 00:00:00,Joan Colet,Spain,others,Nanga Parbat,1997,7,Karakorum
567,1997-09-08 00:00:00,Tenzing Nuru,Nepal,disappeared,Everest,1997,9,Himalaya
568,1997-09-08 00:00:00,Choi Byong-soo,South Korea,avalanche,Everest,1997,9,Himalaya
569,1997-10-08 00:00:00,Juraj Kardhordo,Slovakia,unknown,Manaslu,1997,10,Himalaya
570,1997-10-09 00:00:00,Miroslav Rybansky,Slovakia,others,Manaslu,1997,10,Himalaya
571,1997-10-13 00:00:00,Per Lyhne,Denmark,illness,Makalu,1997,10,Himalaya
572,1997-12-25 00:00:00,Dmitri Sobolev,Kazakhstan,avalanche,Annapurna,1997,12,Himalaya
573,1997-12-25 00:00:00,Anatoli Boukreev,Kazakhstan,avalanche,Annapurna,1997,12,Himalaya
574,1998-04-26 00:00:00,Ang Tshering,Nepal,avalanche,Annapurna,1998,4,Himalaya
575,1998-04-30 00:00:00,Viktor Stepanov,Russia,illness,Cho Oyu,1998,4,Himalaya
576,1998-05-01 00:00:00,Nikos Papandreou,Greece,fall,Dhaulagiri,1998,5,Himalaya
577,1998-05-11 00:00:00,Ang Tshering,Nepal,avalanche,Dhaulagiri,1998,5,Himalaya
578,1998-05-11 00:00:00,Chantal Mauduit,France,avalanche,Dhaulagiri,1998,5,Himalaya
579,1998-05-13 00:00:00,Gerald Roesner,Germany,fall,Cho Oyu,1998,5,Himalaya
580,1998-05-21 00:00:00,Andreino Pasini,Italy,illness,Shisha Pangma,1998,5,Himalaya
581,1998-05-24 00:00:00,Francys Arsentiev,United States,exposure,Everest,1998,5,Himalaya
582,1998-05-24 00:00:00,Sergei Arsentiev,United States,fall,Everest,1998,5,Himalaya
583,1998-05-25 00:00:00,Mark Jennings,United Kingdom,exhaustion,Everest,1998,5,Himalaya
584,1998-05-26 00:00:00,Roger Buick,New Zealand,exhaustion,Everest,1998,5,Himalaya
585,1998-07-24 00:00:00,Shahid Abdul Khader,India,fall,Everest,1998,7,Himalaya
586,1998-07-26 00:00:00,Hideki Ohmiya,Japan,fall,Nanga Parbat,1998,7,Karakorum
587,1998-07-29 00:00:00,Pascale Bessieres,France,disappeared,Broad Peak,1998,7,Karakorum
588,1998-08-01 00:00:00,Takashi Watanabe,Japan,avalanche,Gasherbrum-1,1998,8,Karakorum
589,1998-08-01 00:00:00,Kasunori Kutama,Japan,avalanche,Gasherbrum-1,1998,8,Karakorum
590,1998-08-01 00:00:00,Kasutoshi Naito,Japan,avalanche,Gasherbrum-1,1998,8,Karakorum
591,1998-09-26 00:00:00,Alexander Jaggi,Switzerland,illness,Cho Oyu,1998,9,Himalaya
592,1998-10-02 00:00:00,Charalampos (Babis) Tsoupras,Greece,fall,Dhaulagiri,1998,10,Himalaya
593,1998-10-26 00:00:00,Lenin Granados,Colombia,avalanche,Manaslu,1998,10,Himalaya
594,1998-10-30 00:00:00,Hristo Stantchev,Bulgaria,fall,Manaslu,1998,10,Himalaya
595,1999-01-01 00:00:00,Sergio Dalla Longa,Italy,fall,Dhaulagiri,1999,1,Himalaya
596,1999-01-01 00:00:00,Günther Semmler,Germany,avalanche,Shisha Pangma,1999,1,Himalaya
597,1999-01-01 00:00:00,Joan Carrillo Junca,Spain,fall,Cho Oyu,1999,1,Himalaya
598,1999-01-01 00:00:00,Stefano Zavka,Italy,others,K-2,1999,1,Karakorum
599,1999-01-01 00:00:00,Lhakpa Nuru,Nepal,others,Kangchenjunga,1999,1,Himalaya
600,1999-01-01 00:00:00,Jorge Luis Brito,Mexico,others,Gasherbrum-1,1999,1,Karakorum
601,1999-01-01 00:00:00,Goutam Ghosh,India,exposure,Everest,1999,1,Himalaya
602,1999-01-01 00:00:00,Song-gu Lee,South Korea,avalanche,Annapurna,1999,1,Himalaya
603,1999-01-01 00:00:00,Pierre Favez,Switzerland,disappeared,Lhotse,1999,1,Himalaya
604,1999-01-01 00:00:00,Răzvan Petcu,Romania,avalanche,Nanga Parbat,1999,1,Karakorum
605,1999-01-01 00:00:00,Chi-won Yun,South Korea,unknown,Manaslu,1999,1,Himalaya
606,1999-01-01 00:00:00,Anatoli Chlekht,Russia,fall,Makalu,1999,1,Himalaya
607,1999-01-01 00:00:00,Yong-il Jang,South Korea,avalanche,Broad Peak,1999,1,Karakorum
608,1999-04-29 00:00:00,Dorje Kami,Nepal,unknown,Annapurna,1999,4,Himalaya
609,1999-05-08 00:00:00,Vasyl Kopytko,Ukraine,unknown,Everest,1999,5,Himalaya
610,1999-05-13 00:00:00,Michael Matthews,United Kingdom,unknown,Everest,1999,5,Himalaya
611,1999-05-18 00:00:00,Pascal Debrouwer,Belgium,fall,Everest,1999,5,Himalaya
612,1999-05-18 00:00:00,Tadeusz Kudelski,Poland,fall,Everest,1999,5,Himalaya
613,1999-07-10 00:00:00,Mihai Cioroianu,Romania,fall,K-2,1999,7,Karakorum
614,1999-07-11 00:00:00,Seung-Kwon Hur,South Korea,disappeared,Broad Peak,1999,7,Karakorum
615,1999-09-01 00:00:00,Myeong-kun Hyun,South Korea,avalanche,Kangchenjunga,1999,9,Himalaya
616,1999-09-01 00:00:00,Do-kyu Han,South Korea,avalanche,Kangchenjunga,1999,9,Himalaya
617,1999-10-05 00:00:00,David Bridges,United States,avalanche,Shisha Pangma,1999,10,Himalaya
618,1999-10-05 00:00:00,Alex Lowe,United States,avalanche,Shisha Pangma,1999,10,Himalaya
619,1999-10-11 00:00:00,Sange Sherpa,Nepal,avalanche,Makalu,1999,10,Himalaya
620,1999-10-24 00:00:00,Dawa Dorje,Nepal,avalanche,Dhaulagiri,1999,10,Himalaya
621,2000-04-23 00:00:00,Ang Dawa Tamang,Nepal,others,Kangchenjunga,2000,4,Himalaya
622,2000-05-04 00:00:00,Noora Toivonen,Finland,fall,Cho Oyu,2000,5,Himalaya
623,2000-05-04 00:00:00,Pavel Bonadysenko,Russia,fall,Cho Oyu,2000,5,Himalaya
624,2000-05-16 00:00:00,Bernd Mehnert,Germany,others,Makalu,2000,5,Himalaya
625,2000-05-20 00:00:00,Jeppe Stoltz,Denmark,fall,Everest,2000,5,Himalaya
626,2000-05-21 00:00:00,Yan Genghua,China,disappeared,Everest,2000,5,Himalaya
627,2000-07-28 00:00:00,Felix Iñurrategui,Spain,fall,Gasherbrum-2,2000,7,Karakorum
628,2000-09-17 00:00:00,Vladimir Bondarev,Russia,avalanche,Lhotse,2000,9,Himalaya
629,2000-09-20 00:00:00,Pasang Nima,Nepal,avalanche,Cho Oyu,2000,9,Himalaya
630,2000-09-20 00:00:00,Pemba Gyalzen,Nepal,avalanche,Cho Oyu,2000,9,Himalaya
631,2000-09-29 00:00:00,Soo-ho Lee,South Korea,avalanche,Dhaulagiri,2000,9,Himalaya
632,2000-10-07 00:00:00,Gyalzen Chuldim,Nepal,avalanche,Dhaulagiri,2000,10,Himalaya
633,2000-10-11 00:00:00,Pavle Milošević,Serbia and Montenegro,illness,Cho Oyu,2000,10,Himalaya
634,2001-04-29 00:00:00,Babu Chiri Sherpa,Nepal,fall,Everest,2001,4,Himalaya
635,2001-05-14 00:00:00,Eric Resch,Australia,disappeared,Makalu,2001,5,Himalaya
636,2001-05-23 00:00:00,Peter Ganner,Austria,fall,Everest,2001,5,Himalaya
637,2001-05-24 00:00:00,Aleksei Nikiforov,Russia,altitude,Everest,2001,5,Himalaya
638,2001-05-24 00:00:00,Mark Auricht,Australia,others,Everest,2001,5,Himalaya
